Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Flash,6a+,6a+,15,2,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Good,30,10,2022,30
Flash,6a,6a,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Good,30,10,2022,28
Flash,7a,7a,35,2,Italy,Ogliastra,Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine,Very Good,10,6,2022,40
Flash,7a+,7a+,22,1,Italy,Ogliastra,Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine,Good,10,6,2022,42
Flash,6b+,6b+,33,2,Italy,Ogliastra,Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine,Very Good,10,6,2022,34
Flash,6b+,6b+,35,2,Italy,Ogliastra,Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine,Very Good,10,6,2022,34
Flash,7a+,7a+,25,3,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Classic,10,5,2022,42
Flash,7a+,7a+,25,2,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Very Good,10,5,2022,42
Flash,6b+,6b+,25,2,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Very Good,10,5,2022,34
Red point,7b+,7b+,35,3,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Classic,10,3,2022,46
Red point,6c,6c,33,3,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Classic,10,3,2022,36
Flash,7a+,7a+,35,3,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Classic,10,2,2022,42
Flash,6c,6c,18,3,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Classic,10,2,2022,36
Flash,6a,6a,25,2,Italy,Ogliastra,Ogliastra - Urzulei - Genna Croce,Very Good,10,2,2022,28
Red point,7a,7a,15,2,Italy,Ogliastra,Ogliastra - Ulassai - S'assa Bella,Very Good,27,9,2022,40
Flash,6a+,6a+,15,2,Italy,Ogliastra,Ogliastra - Ulassai - S'assa Bella,Very Good,27,9,2022,30
Flash,7a,7a,25,3,Italy,Ogliastra,Ogliastra - Jerzu - Palazzo d'Inverno,Classic,26,9,2022,40
Flash,6b+,6b+,20,1,Italy,Ogliastra,Ogliastra - Jerzu - Isola del Tesoro,Good,25,9,2022,34
Flash,6b+,6b+,18,2,Italy,Ogliastra,Ogliastra - Jerzu - Isola del Tesoro,Very Good,22,9,2022,34
Red point,7a,7a,20,2,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Venus,Very Good,9,4,2022,40
Red point,7a,7a,20,2,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Venus,Very Good,9,1,2022,40
Red point,7a,7a,18,3,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Venus,Classic,25,8,2022,40
Red point,7a,7a,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Venus,Good,31,7,2022,40
Flash,6a+,6a,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Venus,Good,31,7,2022,30
Flash,6c,6c,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Good,17,7,2022,36
Red point,6b,6b,15,2,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Very Good,17,7,2022,32
Flash,6a+,6a+,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Good,17,7,2022,30
Flash,7a,7a,15,3,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Chastello,Mega Classic,14,7,2022,40
Flash,6a,6a,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Chastello,Good,14,7,2022,28
Red point,7b,7b,10,2,Switzerland,Basler Jura,Basler Jura - Rütenen - Rütenen Art,Very Good,7,5,2022,44
Red point,7b,7b,10,2,Switzerland,Basler Jura,Basler Jura - Rütenen - Rütenen Art,Very Good,7,3,2022,44
Red point,6c+,6c+,15,2,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Very Good,26,6,2022,38
Flash,6a+,6a+,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Good,25,6,2022,30
Red point,7a,7a,10,1,Switzerland,Basler Jura,Basler Jura - Rütenen - Rütenen Art,Good,23,6,2022,40
Flash,5b,5b,10,1,Switzerland,Basler Jura,Basler Jura - Rütenen - Rütenen Art,Good,21,6,2022,22
Flash,5c,5c+,10,1,Switzerland,Basler Jura,Basler Jura - Rütenen - Rütenen Art,Good,21,6,2022,24
Flash,5b,5b,10,1,Switzerland,Solothurner Jura,Solothurner Jura - Älpli,Good,19,6,2022,22
Red point,6c+,6c+,10,1,Switzerland,Solothurner Jura,Solothurner Jura - Älpli,Good,19,6,2022,38
Red point,7b,7b,30,2,Switzerland,Solothurner Jura,Solothurner Jura - Älpli,Very Good,18,6,2022,44
Flash,6c,6c,25,3,France,Ailefroide,Ailefroide - La gorge,Classic,6,6,2022,36
Flash,6b+,6b+,25,2,France,Ailefroide,Ailefroide - La gorge,Very Good,6,6,2022,34
Flash,6a,6a,20,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Good,26,5,2022,28
Red point,7b+,7b+,20,3,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Mega Classic,26,5,2022,46
Flash,6a+,6a+,15,1,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Good,21,5,2022,30
Red point,7b+,7b+,20,3,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Papillion,Classic,21,5,2022,46
Red point,7a,7a,25,2,Switzerland,Basler Jura,Basler Jura - Chastelfluh - Dildo,Very Good,15,5,2022,40
Red point,7a,7a,20,1,Switzerland,Basler Jura,Basler Jura - Eptingen - Bündel,Good,5,8,2022,40
Red point,6c+,6c+,20,1,Switzerland,Basler Jura,Basler Jura - Eptingen - Bündel,Good,5,8,2022,38
Flash,6c,6c,20,1,Switzerland,Jura,Jura - Mervelier - Ancien,Good,16,4,2022,36
Flash,7a+,7a+,25,2,Italy,Ogliastra,Ogliastra - Ulassai - Su Casteddu,Very Good,28,3,2022,42
Flash,6c+,6c+,30,2,Italy,Ogliastra,Ogliastra - Ulassai - Su Casteddu,Very Good,28,3,2022,38
Red point,7b,7b,18,3,Italy,Ogliastra,Ogliastra - Jerzu - Guardiani d'Ogliastra,Classic,27,3,2022,44
Flash,6c+,6c+,20,3,Italy,Ogliastra,Ogliastra - Jerzu - Guardiani d'Ogliastra,Classic,27,3,2022,38
Flash,6a+,6a+,15,3,Italy,Ogliastra,Ogliastra - Jerzu - Guardiani d'Ogliastra,Classic,27,3,2022,30
Flash,7a,7a,25,3,Italy,Ogliastra,Ogliastra - Ulassai - Bauarena,Mega Classic,24,3,2022,40
Flash,6b+,6b+,26,2,Italy,Ogliastra,Ogliastra - Ulassai - Bauarena,Classic,23,3,2022,34
Red point,7a+,7a+,37,2,Italy,Ogliastra,Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte d'Oro,Very Good,22,3,2022,42
Flash,6b+,6b+,43,2,Italy,Ogliastra,Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte d'Oro,Very Good,22,3,2022,34
Flash,6c,6c,30,2,Italy,Ogliastra,Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte d'Oro,Very Good,22,3,2022,36
Red point,7a,7a,12,2,Switzerland,Jura,Jura - La Jacoterie - Cul de plomb,Very Good,3,5,2022,40
