Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Red point,7b,7b,20,2,Norway,Jarberget,Jarberget,Very Good,25,9,2021,44
Red point,7+,7+,20,1,Norway,Hellerud,Hellerud,Very Good,19,9,2021,40
Red point,8-,8-,20,1,Norway,Hellerud,Hellerud,Good,19,9,2021,43
Flash,6+,6+,15,1,Norway,Hauktjern,Hauktjern - Veslefeltet,Very Good,18,9,2021,34
Red point,7-,7-,12,1,Norway,Hauktjern,Hauktjern - Veslefeltet,Average,18,9,2021,36
Red point,6,6,15,2,Norway,Hauktjern,Hauktjern - Veslefeltet,Very Good,18,9,2021,31
Flash,3,3,10,1,Norway,Hauktjern,Hauktjern - Gamlefeltet,Good,18,9,2021,8
Flash,5-,5-,20,1,Norway,Hauktjern,Hauktjern - Gamlefeltet,Very Good,18,9,2021,17
Red point,7a,7a,7,0,Norway,Hammer'n,Hammer'n - Vesleveggen,Don't Bother,9,3,2021,40
Red point,7,7,12,2,Norway,Hell,Hell - Råkkenroll,Very Good,28,8,2021,38
Red point,7-,7-,20,3,Norway,Hell,Hell - Lysere tider,Classic,28,8,2021,36
Flash,6-,6-,20,0,Norway,Hellerud,Hellerud,Good,18,8,2021,28
Red point,7 to 7+,7,25,3,Norway,Hellerud,Hellerud,Classic,8,7,2021,33
Red point,7+,7+,20,0,Norway,Hellerud,Hellerud,Good,8,7,2021,40
Flash,7-,7-,20,0,Norway,Hauktjern,Hauktjern - Hovedfeltet,Average,20,7,2021,36
Flash,6+,6+,25,2,Norway,Hauktjern,Hauktjern - Hovedfeltet,Very Good,20,7,2021,34
Red point,7,6c+,25,1,Norway,Hauktjern,Hauktjern - Hovedfeltet,Good,20,7,2021,38
Flash,7-,7-,20,1,Norway,Hauktjern,Hauktjern - Hovedfeltet,Very Good,20,7,2021,36
Flash,7,6c+,35,2,Norway,Hauktjern,Hauktjern - Hovedfeltet,Classic,20,7,2021,38
Flash,5,5,35,3,Norway,Hauktjern,Hauktjern - Hovedfeltet,Classic,20,7,2021,19
Flash,7-,7-,22,3,Norway,Natten,Natten - Venstre - Hjørnet,Classic,17,7,2021,36
Red point,6+,6+,20,1,Norway,Natten,Natten - Venstre - Hjørnet,Very Good,17,7,2021,34
Flash,6,6,17,1,Norway,Natten,Natten - Venstre - Skogsveggen,Good,17,7,2021,31
Flash,5,5,17,2,Norway,Natten,Natten - Venstre - Skogsveggen,Good,17,7,2021,19
Flash,7,7,27,2,Norway,Natten,Natten - Høyre - Den hvite overhengsveggen,Very Good,16,7,2021,38
Flash,6-,6-,15,0,Norway,Natten,Natten - Høyre - Den hvite overhengsveggen,Average,16,7,2021,28
Flash,6+,6+,30,1,Norway,Natten,Natten - Høyre - Midtveggen,Good,16,7,2021,34
Flash,6,6,30,2,Norway,Natten,Natten - Høyre - Solveggen,Very Good,16,7,2021,31
Red point,8-,8-,20,3,Norway,Hordaland,Hordaland - Sotra vest - Syltøy,Classic,14,7,2021,43
Flash,7,7,26,3,Norway,Hordaland,Hordaland - Sotra vest - Syltøy,Classic,14,7,2021,38
Flash,6,6,25,2,Norway,Hordaland,Hordaland - Sotra vest - Syltøy,Very Good,14,7,2021,31
Flash,7-,7-,24,2,Norway,Hordaland,Hordaland - Sotra vest - Syltøy,Classic,14,7,2021,36
Flash,8,8,20,3,Norway,Hordaland,Hordaland - Sotra vest - Syltøy,Mega Classic,14,7,2021,46
Flash,6+,6+,15,3,Norway,Hordaland,Hordaland - Øygarden - Gjøkeredet,Very Good,7,12,2021,34
Flash,7-,7-,15,2,Norway,Hordaland,Hordaland - Øygarden - Gjøkeredet,Good,7,12,2021,36
Flash,6-,6-,15,2,Norway,Hordaland,Hordaland - Øygarden - Gjøkeredet,Very Good,7,12,2021,28
Flash,7,7,15,1,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Good,7,12,2021,38
Flash,5+,5+,15,2,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Very Good,7,12,2021,22
Flash,6-,6-,15,1,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Good,7,12,2021,28
Flash,6-,6-,15,2,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Very Good,7,12,2021,28
Flash,7-,7-,15,1,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Average,7,12,2021,36
Flash,6-,6-,15,2,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Very Good,7,12,2021,28
Flash,6+,6+,15,2,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Good,7,12,2021,34
Flash,5,5,15,2,Norway,Hordaland,Hordaland - Sotra vest - Lokøy,Very Good,7,12,2021,19
Flash,6,6,15,1,Norway,Hordaland,Hordaland - Bydelsfeltene - Loddefjord,Good,7,11,2021,31
Red point,8-,8-,20,3,Norway,Hordaland,Hordaland - Bydelsfeltene - Loddefjord,Classic,7,11,2021,43
Red point,7+,7+,20,2,Norway,Hordaland,Hordaland - Bydelsfeltene - Loddefjord,Very Good,7,11,2021,40
Flash,6+,6+,20,2,Norway,Hordaland,Hordaland - Bydelsfeltene - Sandviken,Very Good,7,10,2021,34
Flash,7-,7-,15,2,Norway,Hordaland,Hordaland - Bydelsfeltene - Sandviken,Very Good,7,10,2021,36
Flash,6+,6+,26,3,Norway,Hordaland,Hordaland - Bydelsfeltene - Sandviken,Mega Classic,7,10,2021,34
Flash,7-,7-,15,0,Norway,Hordaland,Hordaland - Bydelsfeltene - Sandviken,Average,7,10,2021,36
Flash,6-,6-,17,2,Norway,Hordaland,Hordaland - Bydelsfeltene - Sandviken,Good,7,10,2021,28
Flash,7-,7-,16,2,Norway,Natten,Natten - Venstre - Hjørnet,Very Good,7,9,2021,36
Flash,7+,7+,17,2,Norway,Natten,Natten - Venstre - Hjørnet,Very Good,7,9,2021,40
Flash,6,6,8,0,Norway,Oddane,Oddane,Average,7,6,2021,31
Red point,7+/8-,7a+,9,1,Norway,Oddane,Oddane,Good,7,6,2021,42
Flash,7-,7-,15,2,Norway,Fjell,Fjell,Very Good,6,11,2021,36
Flash,7-,7-,30,2,Norway,Fjell,Fjell,Very Good,6,5,2021,36
Flash,6+,6+,20,2,Norway,Fjell,Fjell,Very Good,6,5,2021,34
Flash,6-,6-,10,1,Norway,Fjell,Fjell,Good,6,5,2021,28
Red point,8-,8-,17,1,Norway,Fetsund,Fetsund - Hovedveggen,Good,6,4,2021,43
Flash,4+,4+,18,2,Norway,Hammer'n,Hammer'n - Sarajevo,Good,30,5,2021,15
Flash,6c,6c+,18,2,Norway,Hammer'n,Hammer'n - Sarajevo,Good,30,5,2021,36
Red point,6c,6c+,14,2,Norway,Mokollen,Mokollen - Venstre,Classic,24,5,2021,36
Flash,7+,7+,15,1,Norway,Hauganeåsen,Hauganeåsen - Eggen,Good,16,5,2021,40
Red point,7+/8-,7a+,12,1,Norway,Husvik,Husvik - Grusveggen,Good,5,1,2021,42
Flash,7-,6b+,10,2,Norway,Husvik,Husvik - Grusveggen,Good,5,1,2021,36
Flash,3,3,10,0,Norway,Hellerud,Hellerud,Average,23,4,2021,8
Flash,4,4,14,0,Norway,Hellerud,Hellerud,Good,23,4,2021,13
Red point,7+/8-,7a+,12,1,Norway,Signalen,Signalen - Høyre,Good,4,5,2021,42
Flash,7-,7-,12,2,Norway,Signalen,Signalen - Høyre,Very Good,4,5,2021,36
Flash,8-,8-,12,2,Norway,Signalen,Signalen - Høyre,Very Good,4,5,2021,43
Flash,6,6,12,1,Norway,Signalen,Signalen - Høyre,Good,4,5,2021,31
Flash,6,6,12,1,Norway,Signalen,Signalen - Høyre,Good,4,5,2021,31
Flash,5,5,10,0,Norway,Signalen,Signalen - Venstre,Average,4,5,2021,19
Flash,7-,7-,10,0,Norway,Signalen,Signalen - Venstre,Average,4,5,2021,36
Flash,5+,5+,12,1,Norway,Signalen,Signalen - Venstre,Good,4,5,2021,22
Flash,7/7+,6c+,30,2,Norway,Hvarnes,Hvarnes - Venstre,Very Good,4,3,2021,39
Flash,7-,7-,35,1,Norway,Hvarnes,Hvarnes - Venstre,Very Good,4,3,2021,36
Red point,6b+,6b+,22,2,Norway,Drammen,Drammen - Muserud - Diederet,Classic,28,2,2021,34
Red point,6b,6b,20,2,Norway,Drammen,Drammen - Muserud - Diederet,Classic,28,2,2021,32
Red point,6b,6b,27,3,Norway,Drammen,Drammen - Muserud - Diederet,Mega Classic,28,2,2021,32
Red point,5,5,10,2,Norway,Drammen,Drammen - Hyggen - Mellomveggen - Hylleveggen,Very Good,11,8,2020,19
Red point,5-,5-,20,1,Norway,Hauktjern,Hauktjern - Gamlefeltet,Good,18,10,2020,17
Flash,7-,7-,10,2,Norway,Hauktjern,Hauktjern - Gamlefeltet,Good,18,10,2020,36
Red point,8,8,20,2,Norway,Hauktjern,Hauktjern - Gamlefeltet,Very Good,18,10,2020,46
Red point,6c,6c,14,1,Norway,Utsikten,Utsikten - Venstre,Good,15,10,2020,36
Red point,5,5,12,2,Norway,Skullerud,Skullerud,Good,14,10,2020,19
Red point,6,6,15,2,Norway,Skullerud,Skullerud,Very Good,22,9,2020,31
Flash,7+,7+,35,2,Norway,Hauktjern,Hauktjern - Hovedfeltet,Classic,20,9,2020,40
Flash,7-,7-,20,2,Norway,Hauktjern,Hauktjern - Hovedfeltet,Very Good,20,9,2020,36
Flash,6+,6+,20,2,Norway,Hauktjern,Hauktjern - Hovedfeltet,Very Good,20,9,2020,34
Flash,7,7,20,3,Norway,Hauktjern,Hauktjern - Hovedfeltet,Mega Classic,20,9,2020,38
Flash,7,7,25,2,Norway,Hauktjern,Hauktjern - Hovedfeltet,Very Good,20,9,2020,38
Flash,7,7,25,3,Norway,Hauktjern,Hauktjern - Hovedfeltet,Classic,20,9,2020,38
Red point,7c+,7c,22,3,Norway,Hammer'n,Hammer'n - Sarajevo,Classic,18,9,2020,50
Red point,7 to 7+,7,25,3,Norway,Hellerud,Hellerud,Classic,15,9,2020,33
Red point,8-,8-,20,2,Norway,Hellerud,Hellerud,Good,9,10,2020,43
Flash,7+,7+,25,2,Norway,Skullerud,Skullerud,Mega Classic,9,1,2020,40
Flash,7-,7,20,1,Norway,Drammen,Drammen - Damtjern - Vegglus Sektoren,Classic,30,8,2020,36
