Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Flash,7a,7a,25,0,France,Désert de l'écureuil,Désert de l'écureuil,Average,29,10,2020,40
Red point,7b+,7b+,15,2,France,Espace Comboire,Espace Comboire - Dévers,Very Good,25,10,2020,46
Red point,7c+,7c+,20,3,France,Espace Comboire,Espace Comboire - Dévers,Classic,25,10,2020,50
Flash,7a,7a,17,0,France,Espace Comboire,Espace Comboire - Dévers,Average,24,10,2020,40
Red point,7b,7b,17,1,France,Espace Comboire,Espace Comboire - Dévers,Good,24,10,2020,44
Flash,7a+,7a+,20,2,France,Espace Comboire,Espace Comboire - Dévers,Very Good,24,10,2020,42
Red point,7c,7c,23,1,France,Saint Didier,Saint Didier - Principal,Good,18,10,2020,48
Red point,7c,7c+,28,2,France,Saint Didier,Saint Didier - Haut,Very Good,18,10,2020,48
Flash,7a+,7a+,28,1,France,Saint Didier,Saint Didier - Haut,Good,18,10,2020,42
Flash,6c,6c,20,1,France,Saint Didier,Saint Didier - Haut,Good,18,10,2020,36
Flash,6b+,6b+,23,1,France,Désert de l'écureuil,Désert de l'écureuil,Average,17,10,2020,34
Flash,7a,6c+,20,0,France,Désert de l'écureuil,Désert de l'écureuil,Average,17,10,2020,40
Flash,6c+,6c+,18,0,France,Le Sapenay,Le Sapenay - Bleau,Average,10,11,2020,38
Red point,7b,7b,20,0,France,Le Sapenay,Le Sapenay - Pinder,Average,10,11,2020,44
Flash,7a+,7a+,20,1,France,Le Sapenay,Le Sapenay - Pinder,Good,10,11,2020,42
Flash,7c,7c,19,1,France,Carabins,Carabins - Pierre d'Alain,Good,10,9,2020,48
Flash,7b,7b,15,1,France,Carabins,Carabins - Pierre d'Alain,Good,10,9,2020,44
Flash,7b+,7b+,19,2,France,Carabins,Carabins - Pierre d'Alain,Very Good,10,9,2020,46
Flash,6c,6c,18,2,France,Carabins,Carabins - Pierre d'Alain,Very Good,10,9,2020,36
Flash,6c,6c,14,0,France,Les Fontaines,Les Fontaines,Average,10,4,2020,36
Flash,6b,6b,12,0,France,Les Fontaines,Les Fontaines,Average,10,4,2020,32
Red point,7c+,7c+,38,3,Italy,Cantarana,Cantarana - Classico,Mega Classic,25,9,2020,50
Flash,7c,7c,38,3,Italy,Cantarana,Cantarana - Classico,Classic,25,9,2020,48
Flash,7a,7a,18,1,Italy,Cantarana,Cantarana - Classico,Good,25,9,2020,40
Flash,7a,7a,13,1,Italy,Cantarana,Cantarana - Classico,Good,25,9,2020,40
Red point,7b+,7b+,32,3,Italy,Grottone di Cornarea,Grottone di Cornarea,Classic,22,9,2020,46
Red point,7c,7c,25,1,Italy,Grottone di Cornarea,Grottone di Cornarea,Good,22,9,2020,48
Flash,7a,6c,35,1,Italy,Grottone di Cornarea,Grottone di Cornarea,Good,22,9,2020,40
Red point,7b+,7b+,25,1,Italy,Grottone di Cornarea,Grottone di Cornarea,Good,21,9,2020,46
Flash,7a,7a,18,2,Italy,Grottone di Cornarea,Grottone di Cornarea,Very Good,21,9,2020,40
Flash,6b+,6b+,20,2,Italy,Grottone di Cornarea,Grottone di Cornarea,Very Good,21,9,2020,34
Flash,7a+,7a+,30,3,France,Falaise de Saint Léger,Falaise de Saint Léger,Classic,20,9,2020,42
Flash,7a+,7a+,45,3,France,Falaise de Saint Léger,Falaise de Saint Léger,Classic,20,9,2020,42
Flash,7a,7a,30,3,France,Falaise de Saint Léger,Falaise de Saint Léger,Classic,20,9,2020,40
Flash,6c+,6c+,20,3,France,Falaise de Saint Léger,Falaise de Saint Léger,Classic,20,9,2020,38
Red point,8a+,8a+,30,3,France,Col du Mollard,Col du Mollard,Classic,19,9,2020,54
Red point,8a,8a,22,3,Italy,Alpisella,Alpisella,Classic,26,8,2020,52
Red point,7c+,7c+,35,1,France,Col du chat,Col du chat,Good,23,8,2020,50
Flash,7b,7b,30,2,France,Col du chat,Col du chat,Good,23,8,2020,44
Red point,7b+,7b+,18,2,Italy,Cantarana,Cantarana - Classico,Very Good,21,8,2020,46
Red point,7b,7b,18,2,Italy,Cantarana,Cantarana - Classico,Very Good,21,8,2020,44
Flash,7a,7a,35,2,Italy,Cantarana,Cantarana - Classico,Very Good,21,8,2020,40
Red point,7c,7b+,40,3,Italy,Cantarana,Cantarana - Classico,Classic,20,8,2020,48
Red point,7a,7a,18,2,Italy,Cantarana,Cantarana - Classico,Very Good,20,8,2020,40
Flash,7b+,7b+,15,3,Italy,Cantarana,Cantarana - Classico,Mega Classic,20,8,2020,46
Flash,7a+,7a+,18,3,Italy,Cantarana,Cantarana - Classico,Mega Classic,20,8,2020,42
Flash,6b,6b,15,0,Italy,Cantarana,Cantarana - Classico,Average,20,8,2020,32
