Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Red point,7c+,7c+,35,3,France,Vercors,Vercors - Tamée - La Taupiniere - Secteur en bas,Classic,10,12,2022,50
Flash,7b+,7b+,40,2,France,Vercors,Vercors - Coulmes - La Goulandière,Classic,10,11,2022,46
Flash,7a,7a,20,2,France,Vercors,Vercors - Coulmes - La Goulandière,Classic,10,11,2022,40
Red point,7c,7c,18,3,France,Vercors,Vercors - Coulmes - La Goulandière,Classic,10,11,2022,48
Flash,7b,7b,33,3,France,Buoux,Buoux - No Man's Land,Mega Classic,10,9,2022,44
Flash,7a,7a,35,3,France,Buoux,Buoux - Le Nombril,Mega Classic,10,8,2022,40
Red point,8b,8b,15,3,France,Gourdon Area,Gourdon Area - Gorges Du Loup - Déversé satanique,Classic,28,9,2022,56
Flash,6c,6c,20,2,France,Gourdon Area,Gourdon Area - Gorges Du Loup - Mesa Verde,Very Good,28,9,2022,36
Red point,7c+,7c+,30,3,France,Chateauvert,Chateauvert - La Grande Face,Very Good,17,9,2022,50
Flash,7b+,7b+,40,3,France,Chateauvert,Chateauvert - La Grande Face,Mega Classic,17,9,2022,46
Red point,7c,7c,30,3,France,Chateauvert,Chateauvert - Grotte d'Atlantis - Kricket,Classic,16,9,2022,48
Flash,7b+,7b+,25,2,France,Chateauvert,Chateauvert - Grotte Des Elements - Power,Good,15,9,2022,46
Red point,7b+,7b+,25,2,Italy,Comano Terme,Comano Terme,Very Good,9,1,2022,46
Red point,7c+,7c+,20,2,Italy,Comano Terme,Comano Terme,Good,9,1,2022,50
Flash,7c,7c,25,3,Italy,Valle del Sarca,Valle del Sarca - Red Point Wall - Centrale,Very Good,30,8,2022,48
Flash,7a+,7a+,12,2,Italy,Valle del Sarca,Valle del Sarca - Massone - Settore E,Very Good,27,8,2022,42
Red point,7c+,8a,25,3,France,Orpierre,Orpierre - Château - Mission impossible & Hurlement,Mega Classic,8,8,2022,50
Red point,7c,7c,25,3,France,Orpierre,Orpierre - Château - Mission impossible & Hurlement,Classic,8,8,2022,48
Red point,7c,7c,25,3,France,Orpierre,Orpierre - Château - Mission impossible & Hurlement,Very Good,8,8,2022,48
Red point,7b+,7b+,25,3,France,Orpierre,Orpierre - Château - Mission impossible & Hurlement,Classic,8,8,2022,46
Red point,8a+,8a+,25,2,France,Orpierre,Orpierre - Château - Mission impossible & Hurlement,Very Good,8,8,2022,54
Red point,8b,8b,25,2,France,Orpierre,Orpierre - Château - Mission impossible & Hurlement,Classic,8,8,2022,56
