Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Red point,19,19,150,3,Australia,Blue Mountains,Blue Mountains - Leura - Sublime Point - West Face (Main Area) - Middle Cliffs - Sweet Dreams Walls,Classic,3,9,2023,30
Flash,7a,7a,23,2,Greece,Leonidio,Leonidio - Lakkos - Theos Cave,Very Good,13,11,2022,40
Flash,6b+,6b+,20,1,Greece,Leonidio,Leonidio - Elona - Elona - Upper,Don't Bother,11,11,2022,34
Flash,7b/b+,7b+,55,3,Greece,Leonidio,Leonidio - Kokkinovrachos - Jupiter,Very Good,11,10,2022,45
Flash,6c,6c,25,2,Greece,Leonidio,Leonidio - Kokkinovrachos - Jupiter,Good,11,10,2022,36
Flash,6c+,6c+,25,3,Greece,Leonidio,Leonidio - Kokkinovrachos - Jupiter,Very Good,11,10,2022,38
Flash,7b,7b,18,2,Greece,Kalymnos,Kalymnos - Arginonta - Arhi - Balcony Helvetia,Very Good,11,5,2022,44
Flash,6c,6c,20,3,Greece,Kalymnos,Kalymnos - Arginonta - Arhi - Balcony Helvetia,Very Good,11,5,2022,36
Flash,6a+,6a+,25,2,Greece,Kalymnos,Kalymnos - Arginonta - Arhi - Balcony Helvetia,Good,11,5,2022,30
Red point,7c,7c,18,3,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Very Good,11,3,2022,48
Flash,5c,5c,20,1,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Good,11,3,2022,24
Flash,6c+,6c+,30,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Very Good,11,3,2022,38
Flash,6a,6a,33,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Classic,11,3,2022,28
Flash,7b+,7b+,16,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Good,11,3,2022,46
Flash,5c,5c,20,1,Greece,Kalymnos,Kalymnos - Kandouni - Saint Photis - Icare,Average,11,2,2022,24
Flash,6b,6b,27,2,Greece,Kalymnos,Kalymnos - Kandouni - Saint Photis - Icare,Good,11,2,2022,32
Red point,6c+,6c+,15,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Diagoras Cave,Good,31,10,2022,38
Flash,7c,7c,18,3,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Classic,31,10,2022,48
Flash,7c,7c,18,3,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Classic,31,10,2022,48
Flash,6a,6a,30,3,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Very Good,31,10,2022,28
Flash,6a+,6a+,30,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Alani Wall,Mega Classic,30,10,2022,30
Flash,6a,6a,33,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Alani Wall,Classic,30,10,2022,28
Red point,7c,7c,40,3,Greece,Kalymnos,Kalymnos - Arginonta - Galatiani - Left Wall & Calcite Cave,Mega Classic,30,10,2022,48
Flash,6a,6a,25,2,Greece,Kalymnos,Kalymnos - Arginonta - Summertime - Summer Wine,Very Good,28,10,2022,28
Flash,6b+,6b+,28,2,Greece,Kalymnos,Kalymnos - Arginonta - Summertime - Summer Wine,Very Good,28,10,2022,34
Flash,7c+,7c+,12,2,Greece,Kalymnos,Kalymnos - Arginonta - Summertime - Summer Wine,Very Good,28,10,2022,50
Flash,7b+,7b+,12,2,Greece,Kalymnos,Kalymnos - Arginonta - Summertime - Summer Wine,Good,28,10,2022,46
Flash,7b+,7b+,30,1,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Very Good,27,10,2022,46
Flash,7a+,7a+,35,3,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Good,27,10,2022,42
Flash,6b,6b,20,2,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Good,27,10,2022,32
Flash,7a+,7a+,30,3,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Classic,27,10,2022,42
Flash,7b,7b,20,3,Greece,Kalymnos,Kalymnos - Vathi - Pezonda - Eora Cave,Very Good,25,10,2022,44
Flash,7a,7a,15,2,Greece,Kalymnos,Kalymnos - Vathi - Pezonda - Eora Cave,Very Good,25,10,2022,40
Flash,6c+,6c+,35,3,Greece,Kalymnos,Kalymnos - Arginonta - Noufaro - Upper Noufaro,Classic,25,10,2022,38
Flash,6a+,6a+,30,2,Greece,Kalymnos,Kalymnos - Arginonta - Noufaro - Upper Noufaro,Very Good,25,10,2022,30
Flash,6b+,6b+,20,2,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Good,24,10,2022,34
Flash,6c,6c,15,2,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Very Good,24,10,2022,36
Flash,7b+,7b+,22,2,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Good,24,10,2022,46
Flash,6b+,6b+,15,1,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Good,24,10,2022,34
Red point,8a,8a,25,3,Greece,Kalymnos,Kalymnos - Vathi - Griffig,Classic,24,10,2022,52
Red point,8a+/b,8a+,30,3,Greece,Vrysi,Vrysi - Dragonera,Classic,21,10,2022,55
Red point,6b+,6b+,30,1,Greece,Vrysi,Vrysi - Dragonera,Very Good,20,10,2022,34
Flash,6b+,6b+,30,1,Greece,Vrysi,Vrysi - Dragonera,Very Good,19,10,2022,34
Red point,6c,6c,18,2,Greece,Vrysi,Vrysi - Dragonera,Very Good,19,10,2022,36
Flash,7a+,7a+,20,3,Greece,Vrysi,Vrysi - Dragonera,Very Good,19,10,2022,42
Flash,6b,6b,20,2,Greece,Vrysi,Vrysi - Dragonera,Very Good,17,10,2022,32
Flash,6c,6c,18,2,Greece,Vrysi,Vrysi - Dragonera,Very Good,17,10,2022,36
Flash,7b+,7b+,20,2,Greece,Vrysi,Vrysi - Dragonera,Very Good,17,10,2022,46
Flash,7b+,7b+,35,3,Greece,Vrysi,Vrysi - Dragonera,Classic,17,10,2022,46
Flash,6b,6b,25,2,Greece,Manikia,Manikia - Canyon - Manikia Paralia,Very Good,16,10,2022,32
Flash,6c,6c,15,0,Greece,Manikia,Manikia - Canyon - Manikia Paralia,Good,16,10,2022,36
Red point,8a,8a,20,3,Greece,Manikia,Manikia - Canyon - Manikia Paralia,Classic,16,10,2022,52
Flash,7a,7a,20,2,Greece,Manikia,Manikia - Canyon - Manikia Paralia,Good,16,10,2022,40
Red point,7b,7b,25,2,Greece,Manikia,Manikia - Upper Valley - Le Bal Con,Very Good,14,10,2022,44
Flash,6a,6a,22,2,Greece,Manikia,Manikia - Upper Valley - Le Bal Con,Very Good,14,10,2022,28
Red point,7c,7c,32,3,Greece,Vrysi,Vrysi - Dragonera,Classic,13,10,2022,48
Flash,6b+,6b+,19,1,Greece,Vrysi,Vrysi - Dragonera,Good,13,10,2022,34
Flash,7b,7b,20,2,Greece,Vrysi,Vrysi - Dragonera,Very Good,10,12,2022,44
Red point,8a,8a,35,3,Greece,Vrysi,Vrysi - Dragonera,Mega Classic,10,12,2022,52
Flash,5c,5c,15,1,Greece,Vrysi,Vrysi - Pehnidia,Don't Bother,10,12,2022,24
Flash,5c+,5c+,15,1,Greece,Vrysi,Vrysi - Pehnidia,Average,10,12,2022,26
Flash,5c,5c,15,0,Greece,Vrysi,Vrysi - Pehnidia,Average,10,12,2022,24
Flash,5b,5b,15,1,Greece,Vrysi,Vrysi - Pehnidia,Good,10,12,2022,22
Flash,6a+,6a+,20,2,Greece,Vrysi,Vrysi - Pehnidia,Classic,10,10,2022,30
Flash,6a+,6a+,24,2,Greece,Vrysi,Vrysi - Pehnidia,Good,10,10,2022,30
Flash,7b,7b,35,2,Greece,Manikia,Manikia - North Face - Nagawika,Very Good,10,10,2022,44
Flash,6b+,6b+,20,2,Greece,Manikia,Manikia - North Face - Nagawika,Classic,10,10,2022,34
Flash,6c,6c+,15,2,Greece,Manikia,Manikia - North Face - Nagawika,Good,10,10,2022,36
Flash,23,23,220,3,Australia,Blue Mountains,Blue Mountains - Bells Line of Road & Chifley Rd - Pierces Pass - Pierces Pass East Side,Classic,19,9,2022,38
Flash,19,19,75,2,Australia,Blue Mountains,Blue Mountains - Blackheath Area - Megalong Valley Crags - James Bond - Mr Big Area,Very Good,26,6,2022,30
Flash,24,24,160,2,Australia,Blue Mountains,Blue Mountains - Blackheath Area - Perry's Lookdown,Very Good,20,2,2022,40
Red point,25,25,10,2,Australia,Blue Mountains,Blue Mountains - Bells Line of Road & Chifley Rd - The Dam Cliffs - Gulf War Wall,Good,2,10,2022,42
Red point,16,16,12,2,Australia,Blue Mountains,Blue Mountains - Bells Line of Road & Chifley Rd - The Dam Cliffs - Steep Wall,Classic,2,10,2022,22
Flash,23,23,40,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount Piddington - Pindari,Very Good,30,1,2022,38
Red point,20,21,43,3,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount Piddington - Pindari,Classic,30,1,2022,32
Flash,21,21,30,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount Piddington - Pindari,Good,30,1,2022,34
Flash,22,22,30,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount Piddington - Pindari,Good,30,1,2022,36
Flash,24,24,110,2,Australia,Blue Mountains,Blue Mountains - Bells Line of Road & Chifley Rd - Pierces Pass - Pierces Pass West Side,Classic,12,12,2021,40
Flash,23,23,110,2,Australia,Blue Mountains,Blue Mountains - Bells Line of Road & Chifley Rd - Pierces Pass - Pierces Pass West Side,Classic,12,12,2021,38
Flash,24,24,17,3,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount Piddington - Cottage Boulder,Classic,10,10,2021,40
Flash,25,25,25,1,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount Piddington - Cottage Boulder,Good,10,10,2021,42
Red point,22,22,15,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Zap Crag - Upper Zap,Very Good,9,12,2021,36
Red point,28,28,20,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Zap Crag - Upper Zap,Very Good,9,12,2021,48
Flash,12,12,25,2,Australia,Blue Mountains,Blue Mountains - Medlow Bath - The Sunbath,Very Good,9,5,2021,14
Flash,23,22,11,2,Australia,Blue Mountains,Blue Mountains - Medlow Bath - The Sunbath,Good,9,5,2021,38
Flash,14,14,22,2,Australia,Blue Mountains,Blue Mountains - Medlow Bath - The Sunbath,Classic,9,5,2021,18
Flash,16,16,25,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,Classic,22,8,2021,22
Flash,19,19,30,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,Very Good,22,8,2021,30
Flash,20,21,25,2,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,Good,22,8,2021,32
Red point,22,22,10,1,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,Average,22,8,2021,36
Flash,18,18,25,1,Australia,Blue Mountains,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,Good,22,8,2021,28
