Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Flash,7a,7a,25,3,France,Gorges du Tarn,Gorges du Tarn - L'entre deux - Trésor du zèbre,Mega Classic,23,9,2022,40
Flash,6a,6a,20,1,France,Gorges du Tarn,Gorges du Tarn - L'entre deux - Trésor du zèbre,Good,23,9,2022,28
Flash,6a,6a,35,2,France,Gorges du Tarn,Gorges du Tarn - L'entre deux - Trésor du zèbre,Mega Classic,23,9,2022,28
Flash,7a,7a,20,2,France,Gorges du Tarn,Gorges du Tarn - L'entre deux - Trésor du zèbre,Very Good,23,9,2022,40
Flash,6b,6b,18,1,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Le Navire,Average,22,9,2022,32
Flash,7b,7b,30,3,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Le Navire,Mega Classic,20,9,2022,44
Flash,7b,7b,25,3,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Le Navire,Classic,20,9,2022,44
Flash,7a+,7a+,25,2,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Le Navire,Classic,20,9,2022,42
Flash,6a,6a,25,2,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Le Navire,Very Good,20,9,2022,28
Flash,6a+,6a+,23,1,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Le Navire,Very Good,20,9,2022,30
Flash,7a,7a,20,3,France,Gorges du Tarn,Gorges du Tarn - Baumes hautes - L'Oasif,Very Good,19,9,2022,40
Flash,6c,6c,25,1,France,Gorges du Tarn,Gorges du Tarn - Baumes hautes - L'Oasif,Good,19,9,2022,36
Flash,6a+,6a+,40,2,France,Gorges du Tarn,Gorges du Tarn - Baumes basses - De que fas aqui?,Mega Classic,17,9,2022,30
Flash,7a,7a,40,2,France,Gorges du Tarn,Gorges du Tarn - Baumes basses - De que fas aqui?,Good,17,9,2022,40
Flash,7b,7b,35,3,France,Gorges du Tarn,Gorges du Tarn - Baumes basses - De que fas aqui?,Classic,17,9,2022,44
Flash,7a,7a,25,3,France,Gorges du Tarn,Gorges du Tarn - Baumes basses - De que fas aqui?,Mega Classic,17,9,2022,40
Red point,7b+,7b+,35,2,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Tennessee,Good,16,9,2022,46
Red point,7b+,7b+,30,3,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Tennessee,Mega Classic,16,9,2022,46
Flash,6a,6a,20,0,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Amphithéâtre,Average,16,9,2022,28
Flash,6a,6a,20,0,France,Gorges du Tarn,Gorges du Tarn - Cirque des baumes - Amphithéâtre,Average,16,9,2022,28
