Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Pappa Cica;;Red point;6b+;;Sport;Sport;16m;;1;**;16084297;http://www.thecrag.com/route/16084243;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Valle di Rian Cornei - Avancorpo della placconata centrale di Rian Cornei;Classic;20.02.2023 01:00;20.02.2023 20:35;
Per uscire dalle tenebre;;Red point;6c+;;Sport;Sport;20m;;1;***;16099471;http://www.thecrag.com/route/16094993;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Rocca Carpanea - Grotta dell'Edera;Mega Classic;19.02.2023 01:00;20.02.2023 08:34;
Remember me as a friend;;Onsight;6b;;Sport;Sport;20m;;1;**;16099849;http://www.thecrag.com/route/16091111;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Rocca Carpanea - Grotta dell'Edera;Good;19.02.2023 01:00;20.02.2023 08:33;
Lumbago;;Red point;6b;;Sport;Sport;27m;;5;***;1051060680;http://www.thecrag.com/route/1051060680;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Mega Classic;08.04.2023 02:00;08.04.2023 21:49;
Ping Pong Luftballong;;Red point;6b;;Sport;Sport;20m;;3;**;1051060569;http://www.thecrag.com/route/1051060569;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Classic;08.04.2023 02:00;08.04.2023 21:49;
Extrovert;;Red point;6b+;;Sport;Sport;25m;;2;*;1051060458;http://www.thecrag.com/route/1051060458;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Good;08.04.2023 02:00;08.04.2023 21:49;
