Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Pantomine;Pantomine;Pink point;7a+;7a+;Sportive;;10m;;1;;4064948535;http://www.thecrag.com/route/4064948535;France;http://www.thecrag.com/area/11747155;La Pierre Grange;http://www.thecrag.com/area/3990182262;La Pierre Grange - Pierre Grange 2;;30.11.2020 01:00;30.11.2020 17:57;
Le cri du caméléon;Le cri du caméléon;Red point;7b+;7b+;Sportive;;10m;;1;;4064948628;http://www.thecrag.com/route/4064948628;France;http://www.thecrag.com/area/11747155;La Pierre Grange;http://www.thecrag.com/area/3990182262;La Pierre Grange - Pierre Grange 2;;30.11.2020 01:00;30.11.2020 17:57;
Déchéance morale;Déchéance morale;Pink point;7b+;7b+;Sportive;;10m;;1;;4064948721;http://www.thecrag.com/route/4064948721;France;http://www.thecrag.com/area/11747155;La Pierre Grange;http://www.thecrag.com/area/3990182262;La Pierre Grange - Pierre Grange 2;;30.11.2020 01:00;30.11.2020 17:57;
Flight Club;Flight Club;Hang dog;8a+;8a+;Sportive;;;;1;;3058952790;http://www.thecrag.com/route/3058952790;France;http://www.thecrag.com/area/11747155;Désert de l'écureuil;http://www.thecrag.com/area/3058948818;Désert de l'écureuil;;29.10.2020 01:00;03.11.2020 13:01;
Le fabuleux larcin d'Amelie Bourrin;Le fabuleux larcin d'Amelie Bourrin;Flash;7a;7a;Sportive;;25m;;1;;3421117923;http://www.thecrag.com/route/3421117923;France;http://www.thecrag.com/area/11747155;Désert de l'écureuil;http://www.thecrag.com/area/3058948818;Désert de l'écureuil;Average;29.10.2020 01:00;30.10.2020 17:14;
FSB;FSB;Pink point;7b+;7b+;Sportive;;15m;;1;**;1945155411;http://www.thecrag.com/route/1945155411;France;http://www.thecrag.com/area/11747155;Espace Comboire;http://www.thecrag.com/area/85500867;Espace Comboire - Dévers;Very Good;25.10.2020 02:00;26.10.2020 19:05;
A titre costume;A titre costume;Pink point;7c+;7c+;Sportive;;20m;;1;***;1945156440;http://www.thecrag.com/route/1945156440;France;http://www.thecrag.com/area/11747155;Espace Comboire;http://www.thecrag.com/area/85500867;Espace Comboire - Dévers;Classic;25.10.2020 02:00;26.10.2020 19:05;
Liberté conditionnelle;Liberté conditionnelle;Onsight;7a;7a;Sportive;;17m;;1;;1945172094;http://www.thecrag.com/route/1945172094;France;http://www.thecrag.com/area/11747155;Espace Comboire;http://www.thecrag.com/area/85500867;Espace Comboire - Dévers;Average;24.10.2020 02:00;26.10.2020 19:07;
Etat d'arrestation;Etat d'arrestation;Pink point;7b;7b;Sportive;;17m;;1;*;1945155213;http://www.thecrag.com/route/1945155213;France;http://www.thecrag.com/area/11747155;Espace Comboire;http://www.thecrag.com/area/85500867;Espace Comboire - Dévers;Good;24.10.2020 02:00;26.10.2020 19:07;
Mourir pour des idées;Mourir pour des idées;Onsight;7a+;7a+;Sportive;;20m;;1;**;1945147959;http://www.thecrag.com/route/1945147959;France;http://www.thecrag.com/area/11747155;Espace Comboire;http://www.thecrag.com/area/85500867;Espace Comboire - Dévers;Very Good;24.10.2020 02:00;26.10.2020 19:07;
Les antipodes rocheux;Les antipodes rocheux;Pink point;7c;7c;Sportive;;23m;;1;*;3935872683;http://www.thecrag.com/route/3935872683;France;http://www.thecrag.com/area/11747155;Saint Didier;http://www.thecrag.com/area/1949623404;Saint Didier - Principal;Good;18.10.2020 02:00;19.10.2020 21:47;
Comme la femelle à Félix;Comme la femelle à Félix;Pink point;7c;7c+;Sportive;;28m;;1;**;1949627196;http://www.thecrag.com/route/1949627196;France;http://www.thecrag.com/area/11747155;Saint Didier;http://www.thecrag.com/area/1949623404;Saint Didier - Haut;Very Good;18.10.2020 02:00;19.10.2020 21:39;
176;176;Onsight;7a+;7a+;Sportive;;28m;;1;*;1949627097;http://www.thecrag.com/route/1949627097;France;http://www.thecrag.com/area/11747155;Saint Didier;http://www.thecrag.com/area/1949623404;Saint Didier - Haut;Good;18.10.2020 02:00;19.10.2020 21:38;
Initiation colo;Initiation colo;Onsight;6c;6c;Sportive;;20m;;1;*;2325632097;http://www.thecrag.com/route/2325632097;France;http://www.thecrag.com/area/11747155;Saint Didier;http://www.thecrag.com/area/1949623404;Saint Didier - Haut;Good;18.10.2020 02:00;19.10.2020 21:38;
Le cercle des lolottes biscornues;Le cercle des lolottes biscornues;Flash;6b+;6b+;Sportive;;23m;;1;*;3058952535;http://www.thecrag.com/route/3058952535;France;http://www.thecrag.com/area/11747155;Désert de l'écureuil;http://www.thecrag.com/area/3058948818;Désert de l'écureuil;Average;17.10.2020 02:00;17.10.2020 18:58;
Friend Connection;Friend Connection;Onsight;7a;6c+;Sportive;;20m;;1;;3058952262;http://www.thecrag.com/route/3058952262;France;http://www.thecrag.com/area/11747155;Désert de l'écureuil;http://www.thecrag.com/area/3058948818;Désert de l'écureuil;Average;17.10.2020 02:00;17.10.2020 18:56;
95.2-60-90;95.2-60-90;Onsight;6c+;6c+;Sportive;;18m;;1;;3919519143;http://www.thecrag.com/route/3919519143;France;http://www.thecrag.com/area/11747155;Le Sapenay;http://www.thecrag.com/area/1697615181;Le Sapenay - Bleau;Average;11.10.2020 02:00;13.10.2020 18:52;
Pinder surprise;Pinder surprise;Pink point;7b;7b;Sportive;;20m;;1;;3919501797;http://www.thecrag.com/route/3919501797;France;http://www.thecrag.com/area/11747155;Le Sapenay;http://www.thecrag.com/area/1697615181;Le Sapenay - Pinder;Average;11.10.2020 02:00;13.10.2020 18:40;
Mes drames nô;Mes drames nô;Onsight;7a+;7a+;Sportive;;20m;;1;*;3919501698;http://www.thecrag.com/route/3919501698;France;http://www.thecrag.com/area/11747155;Le Sapenay;http://www.thecrag.com/area/1697615181;Le Sapenay - Pinder;Good;11.10.2020 02:00;13.10.2020 18:40;
Frissons d’hiver;Frissons d’hiver;Onsight;7c;7c;Sportive;;19m;;1;*;2605091052;http://www.thecrag.com/route/2605091052;France;http://www.thecrag.com/area/11747155;Carabins;http://www.thecrag.com/area/1697622720;Carabins - Pierre d'Alain;Good;09.10.2020 02:00;10.10.2020 11:42;
Titi sacré vieux chien;Titi sacré vieux chien;Onsight;7b;7b;Sportive;;15m;;1;*;2605082013;http://www.thecrag.com/route/2605082013;France;http://www.thecrag.com/area/11747155;Carabins;http://www.thecrag.com/area/1697622720;Carabins - Pierre d'Alain;Good;09.10.2020 02:00;10.10.2020 11:41;
For Pierre d’Alain;For Pierre d’Alain;Onsight;7b+;7b+;Sportive;;19m;;1;**;2605091583;http://www.thecrag.com/route/2605091583;France;http://www.thecrag.com/area/11747155;Carabins;http://www.thecrag.com/area/1697622720;Carabins - Pierre d'Alain;Very Good;09.10.2020 02:00;10.10.2020 11:40;
Alfa;Alfa;Flash;6c;6c;Sportive;;18m;;1;**;2605081902;http://www.thecrag.com/route/2605081902;France;http://www.thecrag.com/area/11747155;Carabins;http://www.thecrag.com/area/1697622720;Carabins - Pierre d'Alain;Very Good;09.10.2020 02:00;10.10.2020 11:40;
Blue Jean;Blue Jean;Tick;7c+;7a;Sportive;;23m;;1;;2325888270;http://www.thecrag.com/route/2325888270;France;http://www.thecrag.com/area/11747155;Les Fontaines;http://www.thecrag.com/area/2325878034;Les Fontaines;Average;04.10.2020 02:00;10.10.2020 11:48;
C’est classe hélas;C’est classe hélas;Onsight;6c;6c;Sportive;;14m;;1;;2325903567;http://www.thecrag.com/route/2325903567;France;http://www.thecrag.com/area/11747155;Les Fontaines;http://www.thecrag.com/area/2325878034;Les Fontaines;Average;04.10.2020 02:00;10.10.2020 11:47;
Les caricatures de Maho;Les caricatures de Maho;Onsight;6b;6b;Sportive;;12m;;1;;2325889200;http://www.thecrag.com/route/2325889200;France;http://www.thecrag.com/area/11747155;Les Fontaines;http://www.thecrag.com/area/2325878034;Les Fontaines;Average;04.10.2020 02:00;10.10.2020 11:47;
Egosythèmes;Egosythèmes;Tick;7c;7c;Sportive;;25m;;1;;2325888735;http://www.thecrag.com/route/2325888735;France;http://www.thecrag.com/area/11747155;Les Fontaines;http://www.thecrag.com/area/2325878034;Les Fontaines;Average;04.10.2020 02:00;10.10.2020 11:46;
Tutto bene;Tutto bene;Pink point;7c+;7c+;Sportive;;38m;;1;***;3882312801;http://www.thecrag.com/route/3882312801;Italy;http://www.thecrag.com/area/11747371;Cantarana;http://www.thecrag.com/area/3783670611;Cantarana - Classico;Mega Classic;25.09.2020 02:00;30.09.2020 19:20;
Testosterone;Testosterone;Onsight;7c;7c;Sportive;;38m;;1;***;3882312708;http://www.thecrag.com/route/3882312708;Italy;http://www.thecrag.com/area/11747371;Cantarana;http://www.thecrag.com/area/3783670611;Cantarana - Classico;Classic;25.09.2020 02:00;30.09.2020 19:19;
Bambulé;Bambulé;Onsight;7a;7a;Sportive;;18m;;1;*;3882312615;http://www.thecrag.com/route/3882312615;Italy;http://www.thecrag.com/area/11747371;Cantarana;http://www.thecrag.com/area/3783670611;Cantarana - Classico;Good;25.09.2020 02:00;30.09.2020 19:18;
Evitala;Evitala;Flash;7a;7a;Sportive;;13m;;1;*;3882312510;http://www.thecrag.com/route/3882312510;Italy;http://www.thecrag.com/area/11747371;Cantarana;http://www.thecrag.com/area/3783670611;Cantarana - Classico;Good;25.09.2020 02:00;30.09.2020 19:18;
Gole profonde;Gole profonde;Pink point;7b+;7b+;Sportive;;32m;;1;***;3891435282;http://www.thecrag.com/route/3891435282;Italy;http://www.thecrag.com/area/11747371;Grottone di Cornarea;http://www.thecrag.com/area/2186766504;Grottone di Cornarea;Classic;22.09.2020 02:00;03.10.2020 19:27;
Per un pugno di dollari;Per un pugno di dollari;Pink point;7c;7c;Sportive;;25m;;1;*;2186869044;http://www.thecrag.com/route/2186869044;Italy;http://www.thecrag.com/area/11747371;Grottone di Cornarea;http://www.thecrag.com/area/2186766504;Grottone di Cornarea;Good;22.09.2020 02:00;03.10.2020 11:00;
Kill Bill;Kill bill;Onsight;7a;6c;Sportive;;35m;;1;*;2186868705;http://www.thecrag.com/route/2186868705;Italy;http://www.thecrag.com/area/11747371;Grottone di Cornarea;http://www.thecrag.com/area/2186766504;Grottone di Cornarea;Good;22.09.2020 02:00;03.10.2020 10:51;
Natural born killer;Natural born killer;Pink point;7b+;7b+;Sportive;;25m;;1;*;2186868810;http://www.thecrag.com/route/2186868810;Italy;http://www.thecrag.com/area/11747371;Grottone di Cornarea;http://www.thecrag.com/area/2186766504;Grottone di Cornarea;Good;21.09.2020 02:00;03.10.2020 10:44;
Mandingo;Mandingo;Onsight;7a;7a;Sportive;;18m;;1;**;2186868921;http://www.thecrag.com/route/2186868921;Italy;http://www.thecrag.com/area/11747371;Grottone di Cornarea;http://www.thecrag.com/area/2186766504;Grottone di Cornarea;Very Good;21.09.2020 02:00;03.10.2020 10:43;
Bad boys;Bad boys;Onsight;6b+;6b+;Sportive;;20m;;1;**;2186868597;http://www.thecrag.com/route/2186868597;Italy;http://www.thecrag.com/area/11747371;Grottone di Cornarea;http://www.thecrag.com/area/2186766504;Grottone di Cornarea;Very Good;21.09.2020 02:00;03.10.2020 10:42;
Espoirs Déçus;Espoirs Déçus;Onsight;7a+;7a+;Sportive;;30m;;1;***;3142216821;http://www.thecrag.com/route/3142216821;France;http://www.thecrag.com/area/11747155;Falaise de Saint Léger;http://www.thecrag.com/area/85473402;Falaise de Saint Léger;Classic;20.09.2020 02:00;29.09.2020 21:34;
Casse Tête;Casse Tête;Onsight;7a+;7a+;Sportive;;45m;;1;***;3142927638;http://www.thecrag.com/route/3142927638;France;http://www.thecrag.com/area/11747155;Falaise de Saint Léger;http://www.thecrag.com/area/85473402;Falaise de Saint Léger;Classic;20.09.2020 02:00;29.09.2020 21:33;
Etrangement Votre;Etrangement Votre;Onsight;7a;7a;Sportive;;30m;;1;***;3142926765;http://www.thecrag.com/route/3142926765;France;http://www.thecrag.com/area/11747155;Falaise de Saint Léger;http://www.thecrag.com/area/85473402;Falaise de Saint Léger;Classic;20.09.2020 02:00;29.09.2020 21:31;
Les Fées;Les Fées;Onsight;6c+;6c+;Sportive;;20m;;1;***;3141007053;http://www.thecrag.com/route/3141007053;France;http://www.thecrag.com/area/11747155;Falaise de Saint Léger;http://www.thecrag.com/area/85473402;Falaise de Saint Léger;Classic;20.09.2020 02:00;29.09.2020 21:30;
Leurre d'été;Leurre d'été;Pink point;8a+;8a+;Sportive;;30m;;2;***;3828169191;http://www.thecrag.com/route/3828169191;France;http://www.thecrag.com/area/11747155;Col du Mollard;http://www.thecrag.com/area/85495668;Col du Mollard;Classic;19.09.2020 02:00;20.09.2020 08:16;
Leurre d'été;Leurre d'été;Tick;8a+;8a+;Sportive;;30m;;2;***;3828169191;http://www.thecrag.com/route/3828169191;France;http://www.thecrag.com/area/11747155;Col du Mollard;http://www.thecrag.com/area/85495668;Col du Mollard;Classic;12.09.2020 02:00;12.09.2020 18:38;
Méprise;Méprise;Pink point;7b+;7b+;Sportive;;;;1;*;3814740390;http://www.thecrag.com/route/3814740390;France;http://www.thecrag.com/area/11747155;Vercors;http://www.thecrag.com/area/85508952;Vercors - L'Échaillon - Petit Nice;Good;06.09.2020 02:00;07.09.2020 21:55;
Espèce d'espace;Espèce d'espace;Pink point;7c;7c;Sportive;;;;1;***;1953997569;http://www.thecrag.com/route/1953997569;France;http://www.thecrag.com/area/11747155;Vercors;http://www.thecrag.com/area/85508952;Vercors - L'Échaillon - Chômeurs;Classic;06.09.2020 02:00;07.09.2020 21:54;
La croix de sa voie;La croix de sa voie;Onsight;7a;7a;Sportive;;;;1;;3814758666;http://www.thecrag.com/route/3814758666;France;http://www.thecrag.com/area/11747155;Mouxy;http://www.thecrag.com/area/1697598333;Mouxy - Dévers;Average;05.09.2020 02:00;07.09.2020 22:05;
Pacte de stabilité;Pacte de stabilité;Pink point;7a+;7a+;Sportive;;;;1;;3814754856;http://www.thecrag.com/route/3814754856;France;http://www.thecrag.com/area/11747155;Mouxy;http://www.thecrag.com/area/1697598333;Mouxy - Central;Average;05.09.2020 02:00;07.09.2020 22:02;
Loin des apparences;Loin des apparences;Tick;6c+;6c+;Sportive;;25m;;1;**;3809246649;http://www.thecrag.com/route/3809246649;France;http://www.thecrag.com/area/11747155;Mouxy;http://www.thecrag.com/area/1697598333;Mouxy - Salamandre;Very Good;05.09.2020 02:00;06.09.2020 10:05;
Il visionario;Il visionario;Pink point;8a;8a;Sportive;;22m;;1;***;3779480424;http://www.thecrag.com/route/3779480424;Italy;http://www.thecrag.com/area/11747371;Alpisella;http://www.thecrag.com/area/3774535608;Alpisella;Classic;26.08.2020 02:00;26.08.2020 21:55;
Chat mallow mou;Chat mallow mou;Pink point;7c+;7c+;Sportive;;35m;;1;*;1949751000;http://www.thecrag.com/route/1949751000;France;http://www.thecrag.com/area/11747155;Col du chat;http://www.thecrag.com/area/967681911;Col du chat;Good;23.08.2020 02:00;24.08.2020 19:12;
