Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Sikre perioder;;Hang dog;7+;;Sport;Sport;20m;;1;**;16322059;http://www.thecrag.com/route/16322059;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Damtjern - Baker Sektoren;;22.04.2023 02:00;22.04.2023 19:06;
Rogalandsmafiaen;;Hang dog;7+ to 8-;;Sport;Sport;15m;;1;**;16320373;http://www.thecrag.com/route/16320373;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Damtjern - Susis-Veggen;Very Good;22.04.2023 02:00;22.04.2023 15:10;
Kykkeliky;;Red point;7;;Sport;Sport;20m;;2;**;16321387;http://www.thecrag.com/route/16321387;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Damtjern - Vegglus Sektoren;Classic;22.04.2023 02:00;22.04.2023 15:09;
Snikene kommer;;Red point;7;;Sport;Sport;22m;;4;**;16321867;http://www.thecrag.com/route/16321867;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Damtjern - Baker Sektoren;Very Good;22.04.2023 02:00;22.04.2023 15:08;
Diedret;;Red point;7a;;Sport;Sport;25m;;2;**;1051061019;http://www.thecrag.com/route/1051061019;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Very Good;08.04.2023 02:00;08.04.2023 21:50;
Lumbago;;Red point;6b;;Sport;Sport;27m;;5;***;1051060680;http://www.thecrag.com/route/1051060680;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Mega Classic;08.04.2023 02:00;08.04.2023 21:49;
Ping Pong Luftballong;;Red point;6b;;Sport;Sport;20m;;3;**;1051060569;http://www.thecrag.com/route/1051060569;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Classic;08.04.2023 02:00;08.04.2023 21:49;
Extrovert;;Red point;6b+;;Sport;Sport;25m;;2;*;1051060458;http://www.thecrag.com/route/1051060458;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Good;08.04.2023 02:00;08.04.2023 21:49;
Introvert;;Red point;6b;;Sport;Sport;20m;;2;**;1051060341;http://www.thecrag.com/route/1051060341;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Diederet;Good;08.04.2023 02:00;08.04.2023 21:48;
Alle Muggers Mor;;Red point;6c;;Sport;Sport;;;4;**;1051053894;http://www.thecrag.com/route/1051053894;Norway;http://www.thecrag.com/area/11747515;Drammen;http://www.thecrag.com/area/14231557;Drammen - Muserud - Alle Muggers Mor;Classic;08.04.2023 02:00;08.04.2023 21:47;
Sin mechero;;Onsight;6a+;;Sport;Sport;32m;;1;**;2103688260;http://www.thecrag.com/route/2103688260;Spain;http://www.thecrag.com/area/11747395;Redován;http://www.thecrag.com/area/5743660488;Redován - El Rut;Very Good;17.03.2023 01:00;17.03.2023 19:11;
El siptimo de Michigan;;Onsight;7a;;Sport;Sport;29m;;1;**;2103688062;http://www.thecrag.com/route/2103688062;Spain;http://www.thecrag.com/area/11747395;Redován;http://www.thecrag.com/area/5743660488;Redován - El Rut;Very Good;17.03.2023 01:00;17.03.2023 19:11;
Wapa;;Onsight;6c;;Sport;Sport;30m;;1;**;2103687864;http://www.thecrag.com/route/2103687864;Spain;http://www.thecrag.com/area/11747395;Redován;http://www.thecrag.com/area/5743660488;Redován - El Rut;Classic;17.03.2023 01:00;17.03.2023 19:11;
César;;Onsight;7a+;;Sport;Sport;30m;;1;**;2103687765;http://www.thecrag.com/route/2103687765;Spain;http://www.thecrag.com/area/11747395;Redován;http://www.thecrag.com/area/5743660488;Redován - El Rut;Mega Classic;17.03.2023 01:00;17.03.2023 19:11;
Davisillo no te pillo;;Onsight;7a+;;Sport;Sport;;;1;**;2103710895;http://www.thecrag.com/route/2103710895;Spain;http://www.thecrag.com/area/11747395;Redován;http://www.thecrag.com/area/5743660488;Redován - El Rut;Classic;17.03.2023 01:00;17.03.2023 19:10;
Cerdos y diamates;;Onsight;7a+;;Sport;Sport;38m;;1;***;2103710796;http://www.thecrag.com/route/2103710796;Spain;http://www.thecrag.com/area/11747395;Redován;http://www.thecrag.com/area/5743660488;Redován - El Rut;Mega Classic;17.03.2023 01:00;17.03.2023 19:10;
El  golfo de la guerra;;Onsight;6b+;;Sport;Sport;20m;;1;*;16234183;http://www.thecrag.com/route/16234183;Spain;http://www.thecrag.com/area/11747395;Foradá;http://www.thecrag.com/area/12527503;Foradá - Elecciones;Good;16.03.2023 01:00;16.03.2023 21:48;
Helios;;Pink point;7a+;;Sport;Sport;23m;;1;***;16233901;http://www.thecrag.com/route/16233901;Spain;http://www.thecrag.com/area/11747395;Foradá;http://www.thecrag.com/area/12527503;Foradá - Super Heroes;Very Good;16.03.2023 01:00;16.03.2023 21:44;
Thorpedo;;Hang dog;7a+;;Sport;Sport;32m;;1;***;4680771417;http://www.thecrag.com/route/4680771417;Spain;http://www.thecrag.com/area/11747395;Foradá;http://www.thecrag.com/area/12527503;Foradá - Super Heroes;Very Good;16.03.2023 01:00;16.03.2023 21:43;
Muscleman;;Pink point;7b;;Sport;Sport;24m;;1;***;854472816;http://www.thecrag.com/route/854472816;Spain;http://www.thecrag.com/area/11747395;Foradá;http://www.thecrag.com/area/12527503;Foradá - Super Heroes;Very Good;16.03.2023 01:00;16.03.2023 21:42;
Lágrimas negras;;Hang dog;7b+;;Sport;Sport;31m;;1;***;5271969300;http://www.thecrag.com/route/5271969300;Spain;http://www.thecrag.com/area/11747395;Rincón Bello;http://www.thecrag.com/area/1029784887;Rincón Bello - Principal;Classic;15.03.2023 01:00;15.03.2023 23:11;
