Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
La vie à contre sens;;Onsight;6c+;;Sportive;Sportive;;;1;**;3937489329;http://www.thecrag.com/route/3937489329;Switzerland;http://www.thecrag.com/area/11747203;Jura;http://www.thecrag.com/area/214239312;Jura - Le Vaferdeau - Les Ripoux;Very Good;22.04.2023 02:00;22.04.2023 19:21;
Blocup;;Onsight;6c+;;Sportive;Sportive;;;1;**;3937486926;http://www.thecrag.com/route/3937486926;Switzerland;http://www.thecrag.com/area/11747203;Jura;http://www.thecrag.com/area/214239312;Jura - Le Vaferdeau - Les Ripoux;Very Good;22.04.2023 02:00;22.04.2023 19:20;
Cannabis;;Red point;6c;;Sportive;Sportive;17m;;1;*;278309133;http://www.thecrag.com/route/278309133;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Gempen - Gempenpfeiler;;01.01.2023 01:00;01.01.2023 17:56;
Rock Shames;;Onsight;6b;;Sportive;Sportive;17m;;1;**;278310927;http://www.thecrag.com/route/278310927;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Gempen - Gempenpfeiler;;01.01.2023 01:00;01.01.2023 17:53;
Regenriss;;Onsight;5c;;Sportive;Sportive;18m;;1;*;1373665674;http://www.thecrag.com/route/1373665674;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Gempen - Gempenpfeiler;;31.12.2022 01:00;31.12.2022 17:50;
Rockgames;;Onsight;6b;;Sportive;Sportive;17m;;1;**;278311152;http://www.thecrag.com/route/278311152;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Gempen - Gempenpfeiler;;31.12.2022 01:00;31.12.2022 17:49;
Sen;;Red point;7a;;Sportive;Sportive;17m;;1;**;278311518;http://www.thecrag.com/route/278311518;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Gempen - Gempenpfeiler;;31.12.2022 01:00;31.12.2022 17:48;
Kombination;Kombination;Red point;7b;7b;Sportive;Sportive;;;1;**;6762304890;http://www.thecrag.com/route/6762304890;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Very Good;30.10.2022 02:00;30.10.2022 19:18;
Alleszermalmer;Alleszermalmer;Onsight;6a+;6a+;Sportive;Sportive;15m;;1;**;248439294;http://www.thecrag.com/route/248439294;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Good;30.10.2022 02:00;30.10.2022 19:11;
Verfügbares Vernunftspotential;Verfügbares Vernunftspotential;Onsight;6a;6a;Sportive;Sportive;15m;;1;*;248438946;http://www.thecrag.com/route/248438946;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Good;30.10.2022 02:00;30.10.2022 19:11;
Pazifer;Pazifer;Red point;7b+;7b+;Sportive;Sportive;;;1;***;278381298;http://www.thecrag.com/route/278381298;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tüfleten - Le Schtroumpf;Classic;25.10.2022 02:00;25.10.2022 19:49;
Via dei tempi andati;Via dei tempi andati;Onsight;7a;7a;Sportive;Sportive;35m;;1;**;6661506756;http://www.thecrag.com/route/6661506756;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine;Very Good;06.10.2022 02:00;06.10.2022 20:39;
Numero 2 - SN;Numero 2 - SN;Onsight;7a+;7a+;Sportive;Sportive;22m;;1;*;6661478520;http://www.thecrag.com/route/6661478520;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine;Good;06.10.2022 02:00;06.10.2022 20:38;
Straordinario festivo;Straordinario festivo;Onsight;6b+;6b+;Sportive;Sportive;33m;;1;**;2097131601;http://www.thecrag.com/route/2097131601;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine;Very Good;06.10.2022 02:00;06.10.2022 20:35;
