Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Mobilita;Mobilita;Flash;6b+;6b+;Sportive;Sportive;35m;;1;**;2097137163;http://www.thecrag.com/route/2097137163;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Baunei - Monte Scoine - Monte d'Oro - Monte Scoine;Very Good;06.10.2022 02:00;06.10.2022 20:33;
SN;SN;Red point;6c+;6c+;Sportive;Sportive;;;1;**;6658424586;http://www.thecrag.com/route/6658424586;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Very Good;05.10.2022 02:00;05.10.2022 21:29;
Teresina;Teresina;Onsight;7a+;7a+;Sportive;Sportive;25m;;1;***;2101995621;http://www.thecrag.com/route/2101995621;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Classic;05.10.2022 02:00;05.10.2022 21:28;
Liquirizia;Liquirizia;Onsight;7a+;7a+;Sportive;Sportive;25m;;1;**;2101995807;http://www.thecrag.com/route/2101995807;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Very Good;05.10.2022 02:00;05.10.2022 21:27;
Mauguri;Mauguri;Onsight;6b+;6b+;Sportive;Sportive;25m;;1;**;2101996644;http://www.thecrag.com/route/2101996644;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Very Good;05.10.2022 02:00;05.10.2022 21:26;
Club prive;Club prive;Red point;7b+;7b+;Sportive;Sportive;35m;;1;***;2101995993;http://www.thecrag.com/route/2101995993;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Classic;03.10.2022 02:00;03.10.2022 20:28;
Gianni e pinotti;Gianni e pinotti;Red point;6c;6c;Sportive;Sportive;33m;;1;***;2101996458;http://www.thecrag.com/route/2101996458;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Classic;03.10.2022 02:00;03.10.2022 20:27;
Streghetta mia;Streghetta mia;Onsight;7a+;7a+;Sportive;Sportive;35m;;1;***;2101996086;http://www.thecrag.com/route/2101996086;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Classic;02.10.2022 02:00;02.10.2022 21:08;
Rouge;Rouge;Onsight;6c;6c;Sportive;Sportive;18m;;1;***;2101996365;http://www.thecrag.com/route/2101996365;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Classic;02.10.2022 02:00;02.10.2022 21:07;
Piero pensiero;Piero pensiero;Flash;6a;6a;Sportive;Sportive;25m;;1;**;2101996923;http://www.thecrag.com/route/2101996923;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Urzulei - Genna Croce;Very Good;02.10.2022 02:00;02.10.2022 21:05;
Per Fey;Per Fey;Onsight;7a+;7a+;Sportive;Sportive;;;1;**;5478729312;http://www.thecrag.com/route/5478729312;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - Bauarena;Very Good;30.09.2022 02:00;01.10.2022 13:56;
La passeggiata;La passeggiata;Onsight;6b;6b;Sportive;Sportive;;;1;**;5478728457;http://www.thecrag.com/route/5478728457;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - Bauarena;Very Good;30.09.2022 02:00;01.10.2022 13:55;
Koality Line;Koality Line;Flash;6b;6b;Sportive;Sportive;;;1;**;5478714030;http://www.thecrag.com/route/5478714030;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - Bauarena;Classic;30.09.2022 02:00;01.10.2022 13:51;
Seperate reality;Seperate reality;Red point;7a+;7a+;Sportive;Sportive;;;1;**;6625548174;http://www.thecrag.com/route/6625548174;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - The Frame;Very Good;29.09.2022 02:00;29.09.2022 20:34;
Il monte analogo;Il monte analogo;Red point;6c;6c;Sportive;Sportive;;;1;**;6625542069;http://www.thecrag.com/route/6625542069;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - The Frame;Very Good;29.09.2022 02:00;29.09.2022 20:34;
Le radici del cielo;Le radici del cielo;Red point;6c+;6c+;Sportive;Sportive;;;1;**;6625538328;http://www.thecrag.com/route/6625538328;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - The Frame;Very Good;29.09.2022 02:00;29.09.2022 20:33;
Il gabbianella e il gatto;Il gabbianella e il gatto;Onsight;6b;6b;Sportive;Sportive;;;1;**;6625539273;http://www.thecrag.com/route/6625539273;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - The Frame;Very Good;29.09.2022 02:00;29.09.2022 20:32;
l'Alcolista;l'Alcolista;Red point;7a;7a;Sportive;Sportive;15m;;1;**;5415455250;http://www.thecrag.com/route/5415455250;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - S'assa Bella;Very Good;27.09.2022 02:00;27.09.2022 20:32;
Salvini merda;Salvini merda;Onsight;6a+;6a+;Sportive;Sportive;15m;;1;**;5415455076;http://www.thecrag.com/route/5415455076;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - S'assa Bella;Very Good;27.09.2022 02:00;27.09.2022 20:31;
Porcupine;Porcupine;Onsight;7a;7a;Sportive;Sportive;25m;;1;***;5271945003;http://www.thecrag.com/route/5271945003;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Classic;26.09.2022 02:00;26.09.2022 21:31;
nano Ghiacciato;nano Ghiacciato;Red point;7a;7a;Sportive;Sportive;;;1;**;613809171;http://www.thecrag.com/route/613809171;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Very Good;26.09.2022 02:00;26.09.2022 21:30;
Vipera vellenosa;Vipera vellenosa;Onsight;6b;6b;Sportive;Sportive;;;1;**;5478729573;http://www.thecrag.com/route/5478729573;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Ulassai - Bauarena;Very Good;26.09.2022 02:00;26.09.2022 21:29;
Standing Ovation;Standing Ovation;Onsight;6b+;6b+;Sportive;Sportive;20m;;1;*;2044697643;http://www.thecrag.com/route/2044697643;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Isola del Tesoro;Good;25.09.2022 02:00;25.09.2022 21:45;
Valzer Triste;Valzer Triste;Red point;7c;7c;Sportive;Sportive;;;1;**;613808478;http://www.thecrag.com/route/613808478;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Very Good;23.09.2022 02:00;23.09.2022 21:23;
Conversazione Platonica;Conversazione Platonica;Onsight;7a;7a;Sportive;Sportive;;;1;***;613809072;http://www.thecrag.com/route/613809072;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Classic;23.09.2022 02:00;23.09.2022 21:19;
Lezioni di Piano;Lezioni di Piano;Onsight;7a+;7a+;Sportive;Sportive;;;1;***;613808973;http://www.thecrag.com/route/613808973;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Classic;23.09.2022 02:00;23.09.2022 21:18;
Winter is coming;Winter is coming;Flash;6b;6b;Sportive;Sportive;;;1;**;5224918314;http://www.thecrag.com/route/5224918314;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Very Good;23.09.2022 02:00;23.09.2022 21:16;
Fortunadrago;Fortunadrago;Flash;6b+;6b+;Sportive;Sportive;18m;;1;**;2044595676;http://www.thecrag.com/route/2044595676;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Isola del Tesoro;Very Good;22.09.2022 02:00;22.09.2022 19:48;
Vecchio Pietrone;Vecchio Pietrone;Onsight;6c;6c;Sportive;Sportive;;;1;***;613809765;http://www.thecrag.com/route/613809765;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Classic;20.09.2022 02:00;20.09.2022 21:13;
Stella della Sera;Stella della Sera;Red point;7b+;7b+;Sportive;Sportive;;;1;***;613810161;http://www.thecrag.com/route/613810161;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Classic;19.09.2022 02:00;19.09.2022 22:03;
Prospettiva newsky;Prospettiva newsky;Onsight;6c;6c;Sportive;Sportive;;;1;**;613808379;http://www.thecrag.com/route/613808379;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Very Good;19.09.2022 02:00;19.09.2022 22:02;
L’albero della Vita;L’albero della Vita;Onsight;6b+;6b+;Sportive;Sportive;;;1;**;613809369;http://www.thecrag.com/route/613809369;Italy;http://www.thecrag.com/area/11747371;Ogliastra;http://www.thecrag.com/area/12522631;Ogliastra - Jerzu - Palazzo d'Inverno;Classic;19.09.2022 02:00;19.09.2022 22:01;
furchtbar fruchtbar;furchtbar fruchtbar;Red point;7a;7a;Sportive;Sportive;20m;;1;**;248440725;http://www.thecrag.com/route/248440725;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Venus;Very Good;04.09.2022 02:00;04.09.2022 20:16;
Bank of reality;Bank of reality;Red point;7a;7a;Sportive;Sportive;20m;;1;**;248440578;http://www.thecrag.com/route/248440578;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Venus;Very Good;01.09.2022 02:00;01.09.2022 20:15;
D'Morgsi u dr Chnorzi;D'Morgsi u dr Chnorzi;Red point;7a;7a;Sportive;Sportive;;;1;***;6483653319;http://www.thecrag.com/route/6483653319;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Venus;Classic;30.08.2022 02:00;30.08.2022 20:12;
Iraneth;Iraneth;Red point;8a;8a;Sportive;Sportive;;;1;***;6487625337;http://www.thecrag.com/route/6487625337;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Arena;Classic;27.08.2022 02:00;27.08.2022 19:54;
Erkenntnisbrille;Erkenntnisbrille;Red point;7a;7a;Sportive;Sportive;18m;;1;***;248440380;http://www.thecrag.com/route/248440380;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Venus;Classic;25.08.2022 02:00;26.08.2022 17:47;
Mago;Mago;Red point;7a;7a;Sportive;Sportive;;;1;***;6483650712;http://www.thecrag.com/route/6483650712;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Venus;Classic;25.08.2022 02:00;26.08.2022 17:47;
Die Steile Feuchte;Die Steile Feuchte;Flash;6c;6c;Sportive;Sportive;;;1;**;278364219;http://www.thecrag.com/route/278364219;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tannenfluh - Get-Wet-Canyon;Classic;04.08.2022 02:00;04.08.2022 20:23;
Psychodrom;Psychodrom;Red point;7a;7a;Sportive;Sportive;;;1;*;278364603;http://www.thecrag.com/route/278364603;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tannenfluh - Get-Wet-Canyon;Good;02.08.2022 02:00;02.08.2022 20:14;
Studie eines berstenden Hymens;Studie eines berstenden Hymens;Red point;7a;7a;Sportive;Sportive;15m;;1;*;248439936;http://www.thecrag.com/route/248439936;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Venus;Good;31.07.2022 02:00;31.07.2022 20:50;
Helicobacter;Helicobacter;Onsight;6a+;6a;Sportive;Sportive;15m;;1;*;248440083;http://www.thecrag.com/route/248440083;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Venus;Good;31.07.2022 02:00;31.07.2022 20:48;
Schwitzender Experte der Sinnlosigkeit;Schwitzender Experte der Sinnlosigkeit;Onsight;6c;6c;Sportive;Sportive;15m;;1;*;248436717;http://www.thecrag.com/route/248436717;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Good;17.07.2022 02:00;17.07.2022 19:51;
Ordnungsgefüge des Wissens;Ordnungsgefüge des Wissens;Red point;6b;6b;Sportive;Sportive;15m;;1;**;248437011;http://www.thecrag.com/route/248437011;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Very Good;17.07.2022 02:00;17.07.2022 19:50;
Highway der verarmten Seelen;Highway der verarmten Seelen;Onsight;6a+;6a+;Sportive;Sportive;15m;;1;*;248436864;http://www.thecrag.com/route/248436864;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Good;17.07.2022 02:00;17.07.2022 19:48;
Schlägerei ins Gesicht;Schlägerei ins Gesicht;Onsight;7a;7a;Sportive;Sportive;15m;;1;***;248435727;http://www.thecrag.com/route/248435727;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Chastello;Mega Classic;14.07.2022 02:00;14.07.2022 20:33;
Spiel;Spiel;Onsight;6a;6a;Sportive;Sportive;15m;;1;*;248435070;http://www.thecrag.com/route/248435070;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Chastello;Good;14.07.2022 02:00;14.07.2022 20:32;
Seveso;Seveso;Red point;7b;7b;Sportive;Sportive;10m;;1;**;455996592;http://www.thecrag.com/route/455996592;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Very Good;05.07.2022 02:00;05.07.2022 20:19;
Fahrstuhl des Herrn;Fahrstuhl des Herrn;Red point;7a+;7a+;Sportive;Sportive;;;1;**;6152846949;http://www.thecrag.com/route/6152846949;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Very Good;03.07.2022 02:00;03.07.2022 19:03;
Korrigiert am 26.6.97;Korrigiert am 26.6.97;Red point;7b;7b;Sportive;Sportive;10m;;1;**;455996499;http://www.thecrag.com/route/455996499;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Very Good;03.07.2022 02:00;03.07.2022 19:02;
Werkstatt der Chronisten;Werkstatt der Chronisten;Red point;6c+;6c+;Sportive;Sportive;15m;;1;**;248438781;http://www.thecrag.com/route/248438781;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Very Good;26.06.2022 02:00;26.06.2022 19:25;
Entmobilisierter Held des Alltags;Entmobilisierter Held des Alltags;Onsight;6a+;6a+;Sportive;Sportive;15m;;1;*;248436534;http://www.thecrag.com/route/248436534;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Chastelfluh - Papillion;Good;25.06.2022 02:00;26.06.2022 08:53;
Kerosin;Kerosin;Red point;7a;7a;Sportive;Sportive;10m;;1;*;455996127;http://www.thecrag.com/route/455996127;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Good;23.06.2022 02:00;23.06.2022 19:52;
Sultans of Swing;Sultans of Swing;Red point;6c;6c;Sportive;Sportive;;;1;*;6152828823;http://www.thecrag.com/route/6152828823;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Good;23.06.2022 02:00;23.06.2022 19:51;
Rütenen Art;Rütenen Art;Flash;5b;5b;Sportive;Sportive;10m;;1;*;455996871;http://www.thecrag.com/route/455996871;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Good;21.06.2022 02:00;22.06.2022 17:49;
Mandrake Root;Mandrake Root;Flash;5c;5c+;Sportive;Sportive;10m;;1;*;455996313;http://www.thecrag.com/route/455996313;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Good;21.06.2022 02:00;22.06.2022 17:48;
Living loving maid;Living loving maid;Flash;6a;6a;Sportive;Sportive;;;1;**;6152834973;http://www.thecrag.com/route/6152834973;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Rütenen - Rütenen Art;Very Good;21.06.2022 02:00;22.06.2022 17:47;
Wellness;Wellness;Flash;5b;5b;Sportive;Sportive;10m;;1;*;195120210;http://www.thecrag.com/route/195120210;Switzerland;http://www.thecrag.com/area/11747203;Solothurner Jura;http://www.thecrag.com/area/157688202;Solothurner Jura - Älpli;Good;19.06.2022 02:00;19.06.2022 19:20;
Chuenagel;Chuenagel;Red point;6c+;6c+;Sportive;Sportive;10m;;1;*;195120384;http://www.thecrag.com/route/195120384;Switzerland;http://www.thecrag.com/area/11747203;Solothurner Jura;http://www.thecrag.com/area/157688202;Solothurner Jura - Älpli;Good;19.06.2022 02:00;19.06.2022 19:19;
A day with frends;A day with frends;Red point;7b;7b;Sportive;Sportive;30m;;1;**;195122343;http://www.thecrag.com/route/195122343;Switzerland;http://www.thecrag.com/area/11747203;Solothurner Jura;http://www.thecrag.com/area/157688202;Solothurner Jura - Älpli;Very Good;18.06.2022 02:00;19.06.2022 19:18;
Kavinia matatass;Kavinia matatass;Onsight;6c+;6c+;Sportive;Sportive;;;1;**;947365803;http://www.thecrag.com/route/947365803;France;http://www.thecrag.com/area/11747155;Mont-Dauphin;http://www.thecrag.com/area/85535943;Mont-Dauphin - Biotope;Very Good;12.06.2022 02:00;12.06.2022 16:01;
Psychowatt;Psychowatt;Onsight;6c;6c;Sportive;Sportive;;;1;**;5090219019;http://www.thecrag.com/route/5090219019;France;http://www.thecrag.com/area/11747155;Mont-Dauphin;http://www.thecrag.com/area/85535943;Mont-Dauphin - Biotope;Very Good;12.06.2022 02:00;12.06.2022 16:00;
Biotope;Biotope;Onsight;6b+;6b+;Sportive;Sportive;;;1;**;5090217768;http://www.thecrag.com/route/5090217768;France;http://www.thecrag.com/area/11747155;Mont-Dauphin;http://www.thecrag.com/area/85535943;Mont-Dauphin - Biotope;Very Good;12.06.2022 02:00;12.06.2022 15:59;
Band of gypsies;Band of gypsies;Red point;7b+;7b+;Sportive;Sportive;;;1;**;3465624819;http://www.thecrag.com/route/3465624819;France;http://www.thecrag.com/area/11747155;Le Simoust;http://www.thecrag.com/area/2294342940;Le Simoust;Very Good;11.06.2022 02:00;11.06.2022 19:33;
La valse a mis le temps;La valse a mis le temps;Flash;7a;7a;Sportive;Sportive;;;1;**;3465631305;http://www.thecrag.com/route/3465631305;France;http://www.thecrag.com/area/11747155;Le Simoust;http://www.thecrag.com/area/2294342940;Le Simoust;Classic;11.06.2022 02:00;11.06.2022 19:32;
Ronde up;Ronde up;Onsight;6b;6b;Sportive;Sportive;;;1;*;3465619680;http://www.thecrag.com/route/3465619680;France;http://www.thecrag.com/area/11747155;Le Simoust;http://www.thecrag.com/area/2294342940;Le Simoust;Good;09.06.2022 02:00;09.06.2022 20:33;
Ronde up L1;Ronde up L1;Onsight;6a;6a;Sportive;Sportive;;;1;*;3465617877;http://www.thecrag.com/route/3465617877;France;http://www.thecrag.com/area/11747155;Le Simoust;http://www.thecrag.com/area/2294342940;Le Simoust;Good;09.06.2022 02:00;09.06.2022 20:32;
La course au rhum;La course au rhum;Onsight;7a+;7a+;Sportive;Sportive;;;1;***;6164932692;http://www.thecrag.com/route/6164932692;France;http://www.thecrag.com/area/11747155;Mont-Dauphin;http://www.thecrag.com/area/85535943;Mont-Dauphin - Twin Towers;Classic;08.06.2022 02:00;08.06.2022 21:19;
Imoca;Imoca;Onsight;7a;7a;Sportive;Sportive;;;1;***;6164925060;http://www.thecrag.com/route/6164925060;France;http://www.thecrag.com/area/11747155;Mont-Dauphin;http://www.thecrag.com/area/85535943;Mont-Dauphin - Twin Towers;Classic;08.06.2022 02:00;08.06.2022 21:19;
Multi coqs;Multi coqs;Onsight;6c;6c;Sportive;Sportive;;;1;***;6164924193;http://www.thecrag.com/route/6164924193;France;http://www.thecrag.com/area/11747155;Mont-Dauphin;http://www.thecrag.com/area/85535943;Mont-Dauphin - Twin Towers;Classic;08.06.2022 02:00;08.06.2022 21:18;
L'été indien;L'été indien;Onsight;6c;6c;Sportive;Sportive;25m;;1;***;2659444986;http://www.thecrag.com/route/2659444986;France;http://www.thecrag.com/area/11747155;Ailefroide;http://www.thecrag.com/area/12491191;Ailefroide - La gorge;Classic;06.06.2022 02:00;06.06.2022 21:19;
