Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Lapland;;Red point;28;;Sport;Sport;25m;;1;**;1476871299;http://www.thecrag.com/route/1476871299;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Katoomba Area - Ngula Bulgarabang/ Radiata Plateau - The Pit - Sector 'Pit Fighter';Classic;22.04.2023 02:00;22.04.2023 14:07;
Pit Boss;;Red point;28;;Sport;Sport;20m;;1;***;1668774393;http://www.thecrag.com/route/1668774393;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Katoomba Area - Ngula Bulgarabang/ Radiata Plateau - The Pit - Sector 'Sunny Side';Very Good;22.04.2023 02:00;22.04.2023 14:05;
Rolling Thunder;;Onsight;26;;Sport;Sport;30m;;1;***;634793709;http://www.thecrag.com/route/634793709;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Katoomba Area - Ngula Bulgarabang/ Radiata Plateau - The Pit - Sector 'Sunny Side';Classic;22.04.2023 02:00;22.04.2023 14:05;
Chicken Lips;;Onsight;21;;Sport;Sport;18m;;1;**;15478597;http://www.thecrag.com/route/15478597;Australia;http://www.thecrag.com/area/11737699;New Nowra - Braidwood Road;http://www.thecrag.com/area/11769613;New Nowra - Braidwood Road - Tianjara Falls - Bill James Testimonial Gully;Very Good;12.04.2023 02:00;12.04.2023 09:22;
Driller;;Onsight;24;;Sport;Sport;16m;;1;**;15477991;http://www.thecrag.com/route/15477991;Australia;http://www.thecrag.com/area/11737699;New Nowra - Braidwood Road;http://www.thecrag.com/area/11769613;New Nowra - Braidwood Road - Tianjara Falls - Bill James Testimonial Gully;Good;12.04.2023 02:00;12.04.2023 09:22;
Hashish;;Red point;32;;Sport;Sport;28m;;1;***;130752969;http://www.thecrag.com/route/130752969;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Medlow Bath - The Underworld;Classic;07.04.2023 02:00;07.04.2023 07:37;
Mississippi Moonshine;;Red point;30;;Sport;Sport;14m;;1;***;130752504;http://www.thecrag.com/route/130752504;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Medlow Bath - The Underworld;Very Good;03.04.2023 02:00;03.04.2023 10:24;
Julius Caesar;;Onsight;24;;Sport;Sport;12m;;1;**;15343273;http://www.thecrag.com/route/15343273;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Medlow Bath - The Underworld;Very Good;03.04.2023 02:00;03.04.2023 10:24;
Work Injury;;Onsight;24;;Sport;Sport;15m;;1;**;13171501;http://www.thecrag.com/route/13171501;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Mount Victoria Area - Corroboree Walls - Fashion Area;Classic;01.04.2023 02:00;02.04.2023 07:27;
Fashion;;Onsight;23;;Sport;Sport;15m;;1;**;13171369;http://www.thecrag.com/route/13171369;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Mount Victoria Area - Corroboree Walls - Fashion Area;Very Good;01.04.2023 02:00;02.04.2023 07:26;
Stromboli;;Onsight;21;;Sport;Sport;25m;;1;*;809987016;http://www.thecrag.com/route/809987016;Australia;http://www.thecrag.com/area/11737699;Blue Mountains;http://www.thecrag.com/area/11741347;Blue Mountains - Mount Victoria Area - Corroboree Walls - Disneyland;Good;01.04.2023 02:00;02.04.2023 07:25;
